epoch,aeroplane,cat,deer,dog,frog
1,84.92,12.38,46.78,77.32,17.58
2,75.7,61.36,63.38,47.9,59.58
3,82.94,39.2,60.04,67.76,71.5
4,90.0,64.82,52.24,58.0,80.26
5,87.52,44.36,75.68,65.8,82.58
6,88.54,62.44,80.36,54.06,72.5
7,87.44,58.04,61.2,72.7,80.22
8,90.38,87.94,31.7,17.4,80.36
9,87.04,72.0,62.06,71.86,71.14
10,79.44,55.68,79.84,78.18,72.1
11,86.72,69.36,77.78,67.94,60.5
12,88.4,58.22,71.2,77.54,84.68
13,95.68,48.42,74.68,84.04,67.44
14,89.46,62.64,86.9,51.0,73.4
15,93.76,70.66,65.32,66.2,85.66
